2025-03-27 21:49:24 - Клик по координатам: (1324, 1011) с кнопкой right
2025-03-27 21:49:27 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:49:29 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:49:42 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 21:49:44 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 21:49:47 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:49:50 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:49:52 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 21:49:55 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 21:49:57 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 21:50:00 - Клик по координатам: (1324, 1011) с кнопкой right
2025-03-27 21:50:02 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:50:05 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:50:18 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 21:50:20 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 21:50:23 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:50:25 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:50:28 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 21:50:30 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 21:50:33 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 21:50:36 - Клик по координатам: (1324, 1011) с кнопкой right
2025-03-27 21:50:38 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:50:41 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:50:53 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 21:50:56 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 21:50:58 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:51:01 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:51:03 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 21:51:06 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 21:51:09 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 21:51:11 - Клик по координатам: (1324, 1011) с кнопкой right
2025-03-27 21:51:14 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:51:16 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:51:29 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 21:51:31 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 21:51:34 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:51:37 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:51:39 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 21:51:42 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 21:51:44 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 21:51:47 - Клик по координатам: (1324, 1011) с кнопкой right
2025-03-27 21:51:49 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:51:52 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:52:05 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 21:52:07 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 21:52:10 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:52:12 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:52:15 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 21:52:17 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 21:52:20 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 21:52:23 - Клик по координатам: (1324, 1011) с кнопкой right
2025-03-27 21:52:25 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:52:28 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:52:40 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 21:52:43 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 21:52:45 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:52:48 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:52:50 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 21:52:53 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 21:52:56 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 21:52:58 - Клик по координатам: (1324, 1011) с кнопкой right
2025-03-27 21:53:01 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:53:03 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:53:16 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 21:53:18 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 21:53:21 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:53:24 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:53:26 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 21:53:29 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 21:53:31 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 21:53:34 - Клик по координатам: (1324, 1011) с кнопкой right
2025-03-27 21:53:36 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:53:39 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:53:52 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 21:53:54 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 21:53:57 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:53:59 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:54:02 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 21:54:04 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 21:54:07 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 21:54:10 - Клик по координатам: (1324, 1011) с кнопкой right
2025-03-27 21:54:12 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:54:15 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:54:27 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 21:54:30 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 21:54:32 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:54:35 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:54:37 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 21:54:40 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 21:54:43 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 21:54:45 - Клик по координатам: (1324, 1011) с кнопкой right
2025-03-27 21:54:48 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:54:50 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:55:03 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 21:55:05 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 21:55:08 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:55:11 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:55:13 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 21:55:16 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 21:55:18 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 21:55:21 - Клик по координатам: (1324, 1011) с кнопкой right
2025-03-27 21:55:23 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:55:26 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:55:39 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 21:55:41 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 21:55:44 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:55:46 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:55:49 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 21:55:51 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 21:55:54 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 21:55:57 - Клик по координатам: (1324, 1011) с кнопкой right
2025-03-27 21:55:59 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:56:02 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:56:14 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 21:56:17 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 21:56:19 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:56:22 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:56:25 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 21:56:27 - Клик по координатам: (691, 521) с кнопкой right
